Symbol,Security,GICS Sector,GICS Sub Industry,Market cap
AIV,Apartment Investment & Management,Real Estate,Residential REITs,5003319296
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1333716582400
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,47788593152
APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,16329905152
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,18953523200
ANET,Arista Networks,Information Technology,Communications Equipment,15932010496
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,16540640256
AIZ,Assurant,Financials,Multi-line Insurance,5434920960
T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,201708748800
ATO,Atmos Energy,Utilities,Gas Utilities,11633094656
ADSK,Autodesk Inc.,Information Technology,Application Software,39610933248
ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,57955028992
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,25103362048
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,21158907904
AVY,Avery Dennison Corp,Materials,Paper Packaging,8374003712
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,14206650368
BLL,Ball Corp,Materials,Metal & Glass Containers,20287102976
BAC,Bank of America Corp,Financials,Diversified Banks,186005078016
BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,28387303424
BAX,Baxter International Inc.,Health Care,Health Care Equipment,44350148608
BDX,Becton Dickinson,Health Care,Health Care Equipment,73052725248
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,412215508992
